,code,market,date,name,close,totalchange,futureHigh,nextday open,nextday low,nextday high,nextday close,forecast,ratio
142,S 000557,主板,20220706,西部创业,4.6,0,0,0,0,0,0,不涨,0.0010930632706731558
143,S 000558,主板,20220706,莱茵体育,2.79,0,0,0,0,0,0,不涨,0.0008382449159398675
144,S 000559,主板,20220706,万向钱潮,5.83,0,0,0,0,0,0,不涨,0.0008823990356177092
145,S 000560,主板,20220706,我爱我家,2.73,0,0,0,0,0,0,不涨,0.00033830018946900964
146,S 000561,主板,20220706,烽火电子,7.94,0,0,0,0,0,0,不涨,0.010274210944771767
147,S 000563,主板,20220706,陕国投A,3.03,0,0,0,0,0,0,不涨,0.0019139469368383288
148,S 000564,主板,20220706,*ST大集,1.01,0,0,0,0,0,0,不涨,1.0099951396114193e-05
149,S 000565,主板,20220706,渝三峡A,6.49,0,0,0,0,0,0,不涨,0.009661215357482433
150,S 000566,主板,20220706,海南海药,4.46,0,0,0,0,0,0,不涨,0.001245015300810337
151,S 000567,主板,20220706,海德股份,15.08,0,0,0,0,0,0,不涨,4.326127509557409e-07
152,S 000568,主板,20220706,泸州老窖,235.34,0,0,0,0,0,0,不涨,4.376243850856554e-06
153,S 000570,主板,20220706,苏常柴A,5.02,0,0,0,0,0,0,不涨,0.0015149392420426011
154,S 000571,主板,20220706,ST大洲,2.21,0,0,0,0,0,0,不涨,0.0033471034839749336
155,S 000572,主板,20220706,海马汽车,5.88,0,0,0,0,0,0,不涨,0.0022452156990766525
156,S 000573,主板,20220706,粤宏远A,3.04,0,0,0,0,0,0,不涨,0.0012106836074963212
157,S 000576,主板,20220706,甘化科工,9.97,0,0,0,0,0,0,不涨,0.01043276209384203
158,S 000581,主板,20220706,威孚高科,18.97,0,0,0,0,0,0,不涨,0.0005961418501101434
159,S 000582,主板,20220706,北部湾港,7.75,0,0,0,0,0,0,不涨,0.0016239008400589228
160,S 000584,主板,20220706,哈工智能,7.8,0,0,0,0,0,0,不涨,0.12747803330421448
161,S 000586,主板,20220706,汇源通信,8.08,0,0,0,0,0,0,不涨,0.0028943633660674095
162,S 000587,主板,20220706,*ST金洲,1.18,0,0,0,0,0,0,不涨,0.0022945222444832325
163,S 000589,主板,20220706,贵州轮胎,4.32,0,0,0,0,0,0,不涨,0.001781417871825397
164,S 000590,主板,20220706,启迪药业,8.16,0,0,0,0,0,0,不涨,0.0029612351208925247
165,S 000591,主板,20220706,太阳能,8.15,0,0,0,0,0,0,不涨,1.772184441506397e-05
166,S 000592,主板,20220706,平潭发展,2.56,0,0,0,0,0,0,不涨,0.006505610421299934
167,S 000593,主板,20220706,德龙汇能,5.83,0,0,0,0,0,0,不涨,0.011597417294979095
168,S 000595,主板,20220706,宝塔实业,4.72,0,0,0,0,0,0,不涨,0.011747290380299091
169,S 000596,主板,20220706,古井贡酒,234.31,0,0,0,0,0,0,不涨,0.003283001249656081
170,S 000597,主板,20220706,东北制药,5.47,0,0,0,0,0,0,不涨,0.0004235550877638161
171,S 000598,主板,20220706,兴蓉环境,5.2,0,0,0,0,0,0,不涨,0.00015679417992942035
172,S 000599,主板,20220706,青岛双星,3.87,0,0,0,0,0,0,不涨,0.0004741606826428324
173,S 000600,主板,20220706,建投能源,4.82,0,0,0,0,0,0,不涨,0.05296170711517334
174,S 000601,主板,20220706,韶能股份,5.06,0,0,0,0,0,0,不涨,0.0048339106142520905
175,S 000603,主板,20220706,盛达资源,10.95,0,0,0,0,0,0,不涨,0.002222693059593439
176,S 000605,主板,20220706,渤海股份,6.59,0,0,0,0,0,0,不涨,0.005850032903254032
177,S 000606,主板,20220706,*ST顺利,1.26,0,0,0,0,0,0,不涨,0.0012278733775019646
178,S 000607,主板,20220706,华媒控股,4.6,0,0,0,0,0,0,不涨,0.002146753016859293
179,S 000608,主板,20220706,阳光股份,2.87,0,0,0,0,0,0,不涨,0.0006294018821790814
180,S 000609,主板,20220706,中迪投资,5.11,0,0,0,0,0,0,不涨,0.0029126654844731092
181,S 000610,主板,20220706,西安旅游,9.05,0,0,0,0,0,0,不涨,0.013448926620185375
182,S 000612,主板,20220706,焦作万方,6.09,0,0,0,0,0,0,不涨,0.008700467646121979
183,S 000615,主板,20220706,奥园美谷,7.04,0,0,0,0,0,0,不涨,0.005565888714045286
184,S 000616,主板,20220706,ST海投,1.38,0,0,0,0,0,0,不涨,0.007290699519217014
185,S 000617,主板,20220706,中油资本,4.51,0,0,0,0,0,0,不涨,0.0003394803497940302
186,S 000619,主板,20220706,海螺新材,5.95,0,0,0,0,0,0,不涨,0.001032618572935462
187,S 000620,主板,20220706,新华联,2.64,0,0,0,0,0,0,不涨,0.004353412892669439
188,S 000622,主板,20220706,恒立实业,4.54,0,0,0,0,0,0,不涨,0.04592444375157356
189,S 000623,主板,20220706,吉林敖东,14.39,0,0,0,0,0,0,不涨,0.00046023985487408936
190,S 000625,主板,20220706,长安汽车,17.56,0,0,0,0,0,0,不涨,0.09646888077259064
191,S 000626,主板,20220706,远大控股,11.68,0,0,0,0,0,0,不涨,0.0019083149963989854
192,S 000627,主板,20220706,天茂集团,3.33,0,0,0,0,0,0,不涨,0.0013129259459674358
193,S 000628,主板,20220706,高新发展,16.95,0,0,0,0,0,0,不涨,0.01213868148624897
194,S 000629,主板,20220706,攀钢钒钛,5.57,0,0,0,0,0,0,不涨,0.0025967503897845745
195,S 000630,主板,20220706,铜陵有色,3.22,0,0,0,0,0,0,不涨,6.395704872375063e-07
196,S 000631,主板,20220706,顺发恒业,3.51,0,0,0,0,0,0,不涨,0.0012849909253418446
197,S 000632,主板,20220706,三木集团,4.69,0,0,0,0,0,0,不涨,0.03945273160934448
198,S 000633,主板,20220706,合金投资,8.32,0,0,0,0,0,0,不涨,0.1000116765499115
199,S 000635,主板,20220706,英力特,8.86,0,0,0,0,0,0,不涨,0.0008855027845129371
200,S 000636,主板,20220706,风华高科,17.77,0,0,0,0,0,0,不涨,0.006216389127075672
201,S 000637,主板,20220706,茂化实华,4.66,0,0,0,0,0,0,不涨,0.02024443820118904
202,S 000638,主板,20220706,*ST万方,5.93,0,0,0,0,0,0,不涨,0.007925376296043396
203,S 000639,主板,20220706,西王食品,4.37,0,0,0,0,0,0,不涨,0.0032333817798644304
204,S 000650,主板,20220706,仁和药业,6.27,0,0,0,0,0,0,不涨,0.005616701673716307
205,S 000651,主板,20220706,格力电器,32.81,0,0,0,0,0,0,不涨,0.0005674519925378263
206,S 000652,主板,20220706,泰达股份,3.97,0,0,0,0,0,0,不涨,0.0022517796605825424
207,S 000655,主板,20220706,金岭矿业,7.39,0,0,0,0,0,0,不涨,0.005158266983926296
208,S 000656,主板,20220706,金科股份,2.73,0,0,0,0,0,0,不涨,0.04318907484412193
209,S 000657,主板,20220706,中钨高新,16.01,0,0,0,0,0,0,不涨,0.0013517315965145826
210,S 000659,主板,20220706,珠海中富,3.42,0,0,0,0,0,0,不涨,0.0053222146816551685
211,S 000661,主板,20220706,长春高新,224.3,0,0,0,0,0,0,不涨,0.010545711033046246
212,S 000663,主板,20220706,永安林业,6.95,0,0,0,0,0,0,不涨,0.0012270128354430199
213,S 000665,主板,20220706,湖北广电,7.9,0,0,0,0,0,0,不涨,6.0423546528909355e-05
214,S 000666,主板,20220706,经纬纺机,8.62,0,0,0,0,0,0,不涨,0.004212460480630398
215,S 000667,主板,20220706,美好置业,1.55,0,0,0,0,0,0,不涨,0.009962045587599277
216,S 000668,主板,20220706,荣丰控股,11.46,0,0,0,0,0,0,不涨,0.0053096613846719265
217,S 000669,主板,20220706,ST金鸿,1.68,0,0,0,0,0,0,不涨,0.0041553061455488205
218,S 000671,主板,20220706,阳光城,2.06,0,0,0,0,0,0,不涨,0.03684335947036743
219,S 000672,主板,20220706,上峰水泥,14.98,0,0,0,0,0,0,不涨,0.003343790303915739
220,S 000676,主板,20220706,智度股份,5.22,0,0,0,0,0,0,不涨,0.002347876550629735
